FNV	A32	DJB	BAD	DEF
1021	995	1039	1006	961
1075	1007	958	1014	970
968	1078	973	985	1041
1016	985	977	971	1014
1023	1045	983	990	996
1059	992	977	1028	974
976	987	1044	966	957
994	1020	982	988	993
983	991	972	1052	1046
998	997	998	1035	1027
1021	1006	984	990	1007
994	1038	1014	997	993
970	970	967	1047	1038
993	951	1008	1056	986
1038	1036	961	1039	965
1070	1048	983	1010	1090
1072	1063	1000	1002	1041
991	1011	972	980	978
996	927	1017	904	960
994	1009	978	985	1029
979	1012	1003	1013	945
1004	1047	973	977	975
960	991	1014	1036	1042
914	988	1029	1016	1034
994	945	1022	989	996
1019	980	1055	1003	993
930	999	993	999	993
1002	1020	1035	970	1046
991	1028	950	1042	1063
994	950	1008	950	918
1031	963	1012	1003	926
1032	1013	984	1008	939
1042	975	1025	919	984
1000	963	989	938	1030
1005	1005	949	965	1001
947	996	1014	1044	1034
963	1012	1040	1032	1019
912	1016	972	1042	983
1033	1038	1006	991	953
990	1021	1033	990	1023
1022	978	979	1000	1018
982	1021	1070	996	981
1005	961	1056	995	999
1044	985	1015	1036	1003
996	997	1025	1004	968
964	1071	1004	961	1038
987	985	951	974	994
955	978	958	996	985
983	997	996	1070	997
1029	1033	978	964	1034
960	1000	1022	1033	1093
1024	975	970	974	1019
960	929	974	961	994
1038	968	1026	989	1040
1002	1019	990	993	938
992	938	1013	1005	990
1043	1029	979	1030	1024
999	948	958	988	973
982	994	972	989	1008
1023	967	947	984	961
1030	949	1024	963	988
994	1037	998	980	947
974	965	961	1016	1029
976	1053	1059	1020	1049
959	964	1000	1001	997
973	944	1059	973	974
957	947	1057	979	985
988	992	1017	1036	985
973	1017	1042	1021	1007
976	1041	1032	984	1011
997	1045	980	1049	967
1047	1012	1006	959	988
1076	987	1025	962	992
989	1006	1015	1030	1004
999	1011	986	1031	1012
1018	999	982	996	1032
1009	1031	1041	901	1014
1028	974	962	1001	1049
1057	986	1034	1010	1003
998	965	1030	1013	998
1001	1044	973	1066	951
1037	1050	981	955	983
982	961	1025	1028	968
1009	997	1025	979	957
982	1023	975	1004	1034
1022	997	1025	1016	1015
920	1002	943	1020	1002
1010	1039	988	998	981
1040	965	960	964	993
1006	998	1045	1026	1008
986	1019	1032	1032	983
956	1044	1033	1016	979
1003	1032	990	984	993
998	1024	968	989	1023
1040	988	964	1029	1007
1021	1001	963	1031	1020
988	1001	995	999	1012
1004	996	991	1037	1011
982	999	986	1031	1021
1011	1004	1052	957	1008
